Category	Name	Value
ReadStats	PassReads	246863
ReadStats	LenFail	60658
ReadStats	QcFail	1
Classification	Primers_found	245085
Classification	Rescue	12
Classification	Unusable	1772
Strand	+	135473
Strand	-	109612
RescueStrand	+	6
RescueStrand	-	6
UnclassHitNr	0	1265
UnclassHitNr	2	258
UnclassHitNr	3	226
UnclassHitNr	4	15
UnclassHitNr	5	6
UnclassHitNr	9	1
UnclassHitNr	13	1
RescueHitNr	5	10
RescueHitNr	8	2
RescueSegmentNr	2	6
Unusable	4	9
Unusable	5	14
Unusable	6	7
Unusable	7	66
Unusable	8	54
Unusable	9	85
Unusable	10	286
Unusable	11	688
Unusable	12	3156
Unusable	13	6767
Unusable	14	8866
Unusable	15	13740
Unusable	16	20383
Unusable	17	24827
Unusable	18	24187
Unusable	19	20576
Unusable	20	16626
Unusable	21	13185
Unusable	22	11613
Unusable	23	10573
Unusable	24	8669
Unusable	25	7289
Unusable	26	5252
Unusable	27	4070
Unusable	28	3769
Unusable	29	3803
Unusable	30	4189
Unusable	31	4091
Unusable	32	3768
Unusable	33	3642
Unusable	34	4094
Unusable	35	4329
Unusable	36	3705
Unusable	37	3015
Unusable	38	2355
Unusable	39	1702
Unusable	40	1063
Unusable	41	391
Unusable	42	90
Unusable	43	44
Unusable	44	28
Unusable	45	10
Unusable	46	5
Unusable	47	2
Unusable	49	1
Unusable	50	1
Unusable	286	1
Unusable	295	1
Unusable	305	1
Unusable	307	1
Unusable	317	1
Unusable	319	1
Hits	SSP,-VNP,-VNP	130835
Hits	VNP,-SSP	108422
Hits	SSP,SSP,-VNP,-VNP	1383
Hits	SSP,-VNP,-VNP,-VNP	943
Hits	SSP,-VNP,-SSP	721
Hits	SSP,-VNP,-VNP,-VNP,-VNP	633
Hits	VNP,-SSP,-SSP	241
Hits	SSP,-VNP,-VNP,-SSP	239
Hits	VNP,-VNP,-VNP	216
Hits	VNP,VNP,-SSP	205
Hits	SSP,-VNP	200
Hits	SSP,-VNP,-VNP,-VNP,-VNP,-VNP	169
Hits	VNP,VNP,VNP,-SSP	151
Hits	SSP,SSP,SSP,-VNP,-VNP	148
Hits	-VNP,-VNP	124
Hits	VNP,-SSP,-VNP,-VNP	104
Hits	SSP,-SSP	96
Hits	VNP,-SSP,-SSP,-SSP	94
Hits	VNP,VNP,VNP,VNP,VNP,-SSP	90
Hits	VNP,-SSP,SSP	88
Hits	VNP,VNP,VNP,VNP,-SSP	72
Hits	SSP,SSP,SSP,SSP,-VNP,-VNP	39
Hits	SSP,-VNP,-VNP,-VNP,-VNP,-VNP,-VNP	21
Hits	VNP,VNP,VNP,VNP,VNP,VNP,-SSP	19
Hits	SSP,SSP,-VNP,-VNP,-VNP	14
Hits	VNP,VNP,VNP,VNP,VNP,VNP,VNP,VNP,-SSP	13
Hits	VNP,VNP,VNP,VNP,VNP,VNP,VNP,VNP,VNP,-SSP	13
Hits	SSP,SSP	13
Hits	-SSP,-SSP	12
Hits	-SSP,VNP,-SSP	12
Hits	SSP,SSP,SSP,SSP,SSP,-VNP,-VNP	11
Hits	SSP,-VNP,-VNP,-VNP,-SSP	10
Hits	-SSP,SSP,-VNP,-VNP	10
Hits	VNP,VNP,VNP,VNP,VNP,VNP,VNP,-SSP	10
Hits	VNP,VNP,VNP,VNP,VNP,VNP,VNP,VNP,VNP,VNP,VNP,VNP,-SSP	10
Hits	SSP,-VNP,-SSP,-SSP	9
Hits	SSP,-VNP,-VNP,-VNP,-VNP,-VNP,-VNP,-VNP	9
Hits	VNP,-VNP,-VNP,-VNP	9
Hits	SSP,-VNP,-VNP,-VNP,-VNP,-SSP	8
Hits	VNP,-SSP,-SSP,-SSP,-SSP,-SSP,-SSP	8
Hits	VNP,-SSP,-SSP,-SSP,-SSP	8
